logFC AveExpr t P.Value adj.P.Val B
CAMP 1.17719607160732 8.64911210174066 3.67756193001349 0.000308752366031561 0.0146969704010022 0.137020447702561
RGS1 1.27730321625597 8.48222822042478 4.25760483087197 3.2865329743415e-05 0.00463830638634702 2.14664526075775
ACTG1 -1.02752817126087 11.8080836442236 -3.45258136412715 0.000688551817597738 0.0191291258394291 -0.6095694016915
CD248 -1.23346011629324 7.72052410707812 -5.65997594478779 5.70839278501984e-08 7.41968739350043e-05 7.98328598181875
CD8B1 -1.02001019199639 7.05405436221927 -4.7483082570669 4.10658000407844e-06 0.000778410795148077 4.0391121262449
ERAF 1.63548383300513 7.10273077026167 3.81843041193284 0.000183285902103618 0.00846511055984652 0.578476051666565
HBD 1.55391103941074 8.56397576288926 4.0862679479595 6.53257807544969e-05 0.00414612378894813 1.51221295857304
HBQ1 1.00080111701116 8.6362753120561 4.24146537443561 3.50934130592295e-05 0.00281319311647048 2.07716728926359
ERAF 1.28482272893179 7.10273077026167 3.26261289211378 0.00131527428601759 0.0402252877019531 -1.1256617214515
GP6 1.11046203552669 6.85357905480064 5.05653064393638 1.0248785316043e-06 0.0012433143093069 5.27544747867117
HBD 1.23756012596116 8.56397576288926 3.5395716609238 0.000507251404044388 0.0251585736257745 -0.289428002244219
