logFC AveExpr t P.Value adj.P.Val B
ADRA2A 1.33870955896337 2.79333472592799 4.68026039790648 1.49120335724202e-05 0.002648112658274 2.94682930814536
AGT -1.18295064563252 2.5049387724684 -3.8813420649386 0.000244516136900686 0.0112825456891802 0.391275884292686
ASS1 1.01611778941864 3.40203996762595 3.96529730523638 0.000184477324215564 0.00963779673577428 0.647211329880232
ATP12A 1.04412382032844 2.80699026287422 4.02795560554118 0.000149190982481113 0.00861288397949184 0.840328727574216
CAMP 1.46379830408189 5.1289405082396 3.23007120727417 0.0019390670637506 0.0373258933177846 -1.47293894368585
CHST4 1.21864155165921 3.2810462841975 5.08506301357394 3.31879419382557e-06 0.00118622378493565 4.32880031737425
CTSG 1.28007735505588 3.64820753203549 3.6653218208987 0.000497408652781923 0.0169298448589984 -0.251707827295831
EIF2S3 -1.34395240312647 8.44970505291309 -4.29346149668332 5.95863262450666e-05 0.00553933766703218 1.677549154896
EPX 1.03184125560449 2.96313822111487 3.4772061220034 0.000906370870296446 0.0243296112805902 -0.79227792629436
ERVH-4 1.25054087657973 2.84691383976557 4.5837696540918 2.11722922272647e-05 0.00307679644401504 2.62512831817877
ETS1 -1.70485236336639 5.87182729511203 -5.82736076340541 1.89021117193567e-07 0.000230437251951201 6.9719797566695
EXOSC1 -1.01096544690237 1.76530483159787 -3.56890916117088 0.000678000520678852 0.0205070827343127 -0.531094062044073
FBXO2 1.19892726144289 4.22121886142768 4.96021465762654 5.30274608559116e-06 0.00150572296871458 3.89734922307791
FUZ -1.22027228812847 4.37909033334966 -4.25317396118677 6.86157446712299e-05 0.00598281972329903 1.54861684590894
GSTM5 1.28577346305806 3.98647283119562 5.53832670760485 5.8529457207369e-07 0.000411104404151537 5.92871533167506
H2AC18 1.02526932412268 3.31399566783988 4.1412147602559 0.000101214248823222 0.00693900022699421 1.1938147909554
HAND1 1.10213546604274 3.19294538551324 4.95148897027488 5.47838776879466e-06 0.00150572296871458 3.86736108537583
HNRNPH1 -1.00696329691255 7.22512033570238 -4.78611104143148 1.01159006430811e-05 0.00203008463222975 3.30332114652339
IL3RA -1.21700425368806 3.27401165792712 -3.8048014890318 0.000315255718271996 0.0131543829904714 0.160840246187484
KIR3DL3 1.26441958485979 4.22819465435021 3.2141458240469 0.00203416344479078 0.0381476271985954 -1.51559412596566
KRT1 1.48010150781133 3.35641616962944 3.70082020225471 0.000443291590744363 0.0163397538827434 -0.147635331429615
MAPK8 -1.00802422400371 3.94194783843554 -3.88375482588612 0.000242554878357213 0.0112448034811051 0.39858520052475
MCF2L-AS1 1.24537872071039 2.83860027140613 4.50170503558274 2.84541311622811e-05 0.00349267553674486 2.3540900247794
MDM4 -1.5442029074421 4.71348995195305 -4.63802869207292 1.73913182600397e-05 0.00273255430325506 2.80563571996876
NBR2 -1.04691653867759 2.60809351004702 -3.77813500920472 0.000344219384562035 0.013772043288031 0.0812215020873657
NEAT1 -1.17121936553922 6.02083608706636 -4.88540331618752 7.00678985676818e-06 0.00163398063940177 3.64097011103009
NT5DC3 1.06259811774607 3.84159520453195 5.14030246745548 2.69361116248603e-06 0.00113517753091036 4.52106702004858
OR2C1 1.01519391595756 2.76767768309796 3.75320652251194 0.000373584943997942 0.0146897946446495 0.00710728998224663
OR51E2 -1.01132361235336 1.37512846315144 -5.17881448795129 2.32771302895957e-06 0.00108997317870874 4.6555896523597
OR7E2P 1.01889467561243 1.63413290169311 3.64268253468563 0.000535153074662479 0.0176656405299157 -0.317744947520967
PIP5K1A -1.45924799485719 4.04012147592044 -5.96640689982363 1.09137798141674e-07 0.00015331435354502 7.47908428569488
PPP1R3C 1.04302134037572 2.15037559684199 3.78841220110411 0.000332767429514481 0.0136154647616556 0.111865237113835
PRM1 1.12637256256124 2.22697342980185 4.40385919415878 4.03500404641757e-05 0.0045081253681981 2.03414717191149
RAPGEF1 -1.16706007586658 3.70996346941118 -3.43981067867384 0.00101902030491567 0.0255209726502058 -0.897478026046417
SIGLEC5 1.02664393527165 4.97987849301238 3.52963346880429 0.000768163483086682 0.0219199064572557 -0.643509200786354
SLC27A5 -1.09480665153972 3.76974470373533 -3.91474201185549 0.000218670584917807 0.0106743328382851 0.492702187247966
SLPI 1.00533327246892 3.50135716565581 3.43969593647435 0.00101938552466613 0.0255209726502058 -0.897799633758953
STAT2 -1.12091251350616 4.66070344582701 -4.50288457100977 2.83339700218003e-05 0.00349267553674486 2.35796855476421
SULT4A1 -1.37732341828663 2.13656917921565 -6.44207370965083 1.63068216830488e-08 6.87223821795955e-05 9.23406593863864
TRPM1 -1.10896214251457 1.55761517584838 -4.24866197230329 6.97058592739062e-05 0.0060362409506849 1.53421801129749
ZNF446 -1.00357111630801 3.29346024699395 -3.38177380975305 0.00122044122895704 0.0283119971700989 -1.05921445129364
