ENSG00000244734 HBA2
ENSG00000188536 MKI67
ENSG00000148773 CFAP20
ENSG00000070761 PRDM1
ENSG00000057657 H1-10
ENSG00000184897 IGKV4-1
ENSG00000211598 RRM2
ENSG00000171848 IGHA2
ENSG00000211890 CHPF
ENSG00000123989 PDIA4
ENSG00000155660 PRR11
ENSG00000068489 IGLV2-11
ENSG00000211668 IGHA1
ENSG00000211895 FFAR1
ENSG00000126266 MYO1D
ENSG00000176658 IGKV2-30
ENSG00000243238 IGHG4
ENSG00000211892 JCHAIN
ENSG00000132465 ITM2C
ENSG00000135916 PF4
ENSG00000163737 FAM183BP
ENSG00000164556 TEX45
ENSG00000198723 IGKV3-15
ENSG00000244437 MIR4435-2HG
ENSG00000172965 MGLL
ENSG00000074416 LMAN1
ENSG00000074695 GLDC
ENSG00000178445 IGLC3
ENSG00000211679 CDC6
ENSG00000094804 IGHV3-15
ENSG00000211943 MTCO1P12
ENSG00000237973 PIF1
ENSG00000140451 H1-2
ENSG00000187837 ERN1
ENSG00000178607 BHLHA15
ENSG00000180535 TP63
ENSG00000073282 MYDGF
ENSG00000074842 IGLV6-57
ENSG00000211640 KIFC1
ENSG00000237649 NA
ENSG00000253755 LILRB4
ENSG00000186818 IGLC2
ENSG00000211677 H1-4
ENSG00000168298 E2F2
ENSG00000007968 IGKC
ENSG00000211592 IGLV2-8
ENSG00000278196 NA
ENSG00000248571 SPN
ENSG00000197471 IGKV1-17
ENSG00000240382 ABCB9
ENSG00000150967 IGLV2-23
ENSG00000211660 IGLV1-40
ENSG00000211653 NA
ENSG00000251301 NCAPH
ENSG00000121152 NLRP7
ENSG00000167634 IGLV8-61
ENSG00000211638 PLAAT2
ENSG00000133328 SLCO3A1
ENSG00000176463 MTATP6P1
ENSG00000248527 DNAH8
ENSG00000124721 NA
ENSG00000281344 TNFRSF17
ENSG00000048462 MYL9
ENSG00000101335 S100A9
ENSG00000163220 IGHG2
ENSG00000211893 NA
ENSG00000241743 CLEC7A
ENSG00000172243 FER1L4
ENSG00000088340 E2F7
ENSG00000165891 CIR1P1
ENSG00000253146 CLSPN
ENSG00000092853 ASB2
ENSG00000100628 C2CD6
ENSG00000155754 PLEKHA7
ENSG00000166689 HID1
ENSG00000167861 NA
ENSG00000249096 NA
ENSG00000286281 MTND2P28
ENSG00000225630 NA
ENSG00000259630 HJURP
ENSG00000123485 CD38
ENSG00000004468 ZWINT
ENSG00000122952 IGHV4-59
ENSG00000224373 IGKV1-39
ENSG00000242371 NA
ENSG00000269028 NA
ENSG00000270681 GPR15
ENSG00000154165 TSHR
ENSG00000165409 AURKB
ENSG00000178999 LTK
ENSG00000062524 IGHV3-74
ENSG00000224650 SOX2-OT
ENSG00000242808 LINC01322
ENSG00000244128 TRIB1
ENSG00000173334 IGLV1-44
ENSG00000211651 FGF12
ENSG00000114279 NT5DC2
ENSG00000168268 CDCA8
ENSG00000134690 SERF1A
ENSG00000205572 SERF1B
ENSG00000251546 IGKV1D-39
ENSG00000118513 MYB
ENSG00000135540 NHSL1
ENSG00000198794 SCAMP5
ENSG00000253877 LINC01608
ENSG00000224041 IGKV3D-15
ENSG00000121807 CCR2
ENSG00000181104 F2R
ENSG00000286848 NA
ENSG00000051341 POLQ
ENSG00000088325 TPX2
ENSG00000177707 NECTIN3
ENSG00000182985 CADM1
ENSG00000111291 GPRC5D
ENSG00000143603 KCNN3
ENSG00000115884 SDC1
