logFC AveExpr t P.Value adj.P.Val B
hsa-let-7a 1.37615597081968 10.2096545914543 7.62600115047967 2.62763959403094e-08 4.06446096404072e-07 9.13592662832741
hsa-let-7b 1.12538609562621 8.21273448849692 6.5072519900686 4.72883600083768e-07 3.67960888560031e-06 6.29401332048679
hsa-miR-103 1.63782544962045 9.91464548308509 9.23412304177113 5.42629810764206e-10 3.21960354386762e-08 12.9366509508957
hsa-miR-1260 2.14938757479686 9.49111498344319 7.57760925856359 2.96842654677131e-08 4.06446096404072e-07 9.01611916438258
hsa-miR-1274a 2.19531202818478 7.18627505380067 5.79473699303583 3.18480468354818e-06 1.82869430216637e-05 4.41897670856519
hsa-miR-1274b 2.56509233868721 7.81912850815345 6.54042366943807 4.33184648152454e-07 3.67960888560031e-06 6.38026235102032
hsa-miR-142-3p -2.06313448817859 12.2612760496487 -6.50520175343698 4.75455080723635e-07 3.67960888560031e-06 6.28867905568612
hsa-miR-146a 2.09630945375584 6.29128788211838 7.52462395075057 3.39359021484049e-08 4.31470755886863e-07 8.88459392452982
hsa-miR-150 2.76441071229631 8.66000399153019 4.43681451959082 0.000129063513543062 0.000410237596619018 0.798414809359088
hsa-miR-155 1.28547858110493 5.40379836822854 6.01889137217911 1.73998843176134e-06 1.06799289949489e-05 5.01295333219218
hsa-miR-16 1.43370517499436 11.8716467368453 8.12359739242269 7.62936834733368e-09 1.50891951758377e-07 10.349948925139
hsa-miR-196a 1.12650081070649 4.93211604434053 4.55585675510621 9.33319029797266e-05 0.000339042423069211 1.11360643137851
hsa-miR-197 1.08345499806088 5.50385855887681 5.28499590714544 1.27322201281427e-05 6.29537550780387e-05 3.05941937706779
hsa-miR-20a 1.3571336196148 9.83301665348995 8.77202693261914 1.59810654741524e-09 5.68925930879824e-08 11.8812677408373
hsa-miR-24 1.21940612185456 9.20962382562913 6.45119579239405 5.48547706684484e-07 3.96749232561909e-06 6.14802335998965
hsa-miR-26a 1.67480332846252 10.2954851185749 8.90974156544535 1.15484216322841e-09 5.13904762636642e-08 12.1989372007635
hsa-miR-27b 2.35417879268767 9.05392385841976 9.94709453056643 1.08288075635125e-10 1.92752774630522e-08 14.5061520097643
hsa-miR-30b 1.0646741294557 8.76800248685237 6.74352499249896 2.5385072724323e-07 2.37818049733131e-06 6.90594463414483
hsa-miR-320c 2.09560721655335 6.65094683602893 8.43039422702574 3.61651431918634e-09 8.35523065716743e-08 11.081747038466
hsa-miR-361-5p 1.27814569757924 6.07033439645673 7.17524161958142 8.27416328001332e-08 9.20500664901482e-07 8.00849688838242
hsa-miR-362-3p -1.13162109631891 5.6632234827986 -6.44527024954342 5.57232068204929e-07 3.96749232561909e-06 6.13257386329794
hsa-miR-383 -1.11463627250268 6.3092365180708 -4.92726901462283 3.3842592062407e-05 0.000158525825976538 2.10288330160024
hsa-miR-423-3p 1.31445006347489 6.10935103690516 7.70974437629533 2.12920841368167e-08 3.78999097635338e-07 9.34253818111593
hsa-miR-423-5p 1.37347376147939 7.07206448542843 8.59062055281047 2.46099014212191e-09 7.30093742162832e-08 11.4587534390918
hsa-miR-450a -1.30678821957568 5.45378751628907 -6.21262907347707 1.03512481791394e-06 6.58043634245289e-06 5.52353150868891
hsa-miR-494 1.06515757208964 6.83711550791296 5.44125448858012 8.31503238263453e-06 4.22878789745413e-05 3.47706121009908
hsa-miR-513a-5p -1.14042361276576 5.18506794681567 -4.79051098148716 4.91846946530301e-05 0.00020360175926138 1.73784206283669
hsa-miR-532-3p 1.42930925875469 4.60300716622175 6.26756881307469 8.93887983784526e-07 5.8930393005054e-06 5.66778268425102
hsa-miR-598 -1.03354061062283 5.47628538166824 -6.98963409053783 1.3363318728284e-07 1.39921807860856e-06 7.53707088929016
hsa-miR-649 -1.17586010337676 5.8283686514233 -4.81272807559663 4.62870009171853e-05 0.000196168718172833 1.79709736116483
hsa-miR-660 -1.21903681539643 6.27412135281344 -5.72744563538243 3.8210951004421e-06 2.12548414962092e-05 4.24009135829262
hsa-miR-664 1.81032218839092 6.97012747796125 9.43345093648104 3.4349775243162e-10 3.05712999664142e-08 13.3826188628997
hsa-miR-720 1.92534500261325 12.3819674558724 6.50664039222718 4.73649208460998e-07 3.67960888560031e-06 6.29242211965351
hsa-miR-93 1.25633430329373 6.54109854526008 8.41481067137905 3.75515984591795e-09 8.35523065716743e-08 11.04488901037
POS_A(128) 2.28912812352453 13.1997747926606 7.58432837873102 2.91853725574489e-08 4.06446096404072e-07 9.03277226011796
POS_B(32) 2.03500508010856 10.9077208342567 7.34071084925521 5.41511499979579e-08 6.42593646642433e-07 8.42530531872739
POS_C(8) 1.76955911292921 9.31668251747324 6.84678780403253 1.93777169982965e-07 1.91624090316487e-06 7.17156467031382
POS_D(2) 1.62789102324038 7.28273485534304 6.37758415028764 6.66903145454668e-07 4.56572153426657e-06 5.95586809737248
