logFC AveExpr t P.Value adj.P.Val B
age-miR-197_st -2.77184904252132 1.838704744 -8.61019266341659 3.62657163262975e-08 0.000281350326853266 7.50479530673999
ath-miR404_st -1.95424391182458 1.538140035 -5.9825494045207 7.47329733665238e-06 0.00837839668075805 3.43310942016204
bta-miR-197_st -2.63451470671986 1.97553787755 -7.20071312165798 5.63785548561224e-07 0.00103429021545141 5.4706488531866
bta-miR-494_st -2.85555057411347 1.5833624335 -7.10697308993366 6.83065894051378e-07 0.00114868914516307 5.32309723342698
cfa-miR-197_st -2.55965535608002 1.6317294925 -8.29611773100351 6.53326839936418e-08 0.000281350326853266 7.08088629379324
cfa-miR-494_st -2.90720943361765 1.684873612 -7.46351236347847 3.31274520458319e-07 0.000750956859895296 5.87603263089025
dan-miR-92b_st -2.64021146445448 2.487363936 -5.23398045126119 4.00184964444496e-05 0.0367078753749542 2.05909058732515
dpe-miR-92b_st -2.74285911103297 2.25548735695 -5.65393017315382 1.54936215830138e-05 0.015633064177261 2.84041705136709
dre-miR-150_st -3.00653128698929 3.555904105 -5.09741787935148 5.46863216989651e-05 0.0459820821618798 1.79975036648947
eca-miR-197_st -2.78690319720624 1.7058108285 -8.22562618152147 7.46919377042499e-08 0.000281350326853266 6.98348088365717
eca-miR-494_st -2.96291105536124 1.561423719 -6.74580404068044 1.44670320799302e-06 0.0020853193383785 4.74007023159134
hsa-miR-1260b_st -2.26931457147003 1.4638227025 -7.51320266178382 2.99901615980019e-07 0.000750956859895296 5.9513153124826
hsa-miR-197_st -2.33045267985531 1.673370816 -6.57696348012989 2.0669186873573e-06 0.00278069460739136 4.4596281366361
hsa-miR-494_st -2.96172027363481 1.48514358235 -5.98925040463955 7.36398574995515e-06 0.00837839668075805 3.4450139987403
mml-miR-197_st -2.69554471240393 1.717834255 -7.45806196124991 3.34916339893839e-07 0.000750956859895296 5.86774865673009
mml-miR-494_st -2.83478374012177 1.6251264925 -6.77270110654824 1.36724778466413e-06 0.0020853193383785 4.78428334960491
mmu-miR-494_st -2.62101877744368 1.3803659425 -5.61969967852061 1.67279680584576e-05 0.0160747807342702 2.77770255185294
ppa-miR-197_st -2.81750785588008 1.820051555 -8.36369114132709 5.74989383066644e-08 0.000281350326853266 7.17347579622869
ppy-miR-197_st -2.61067152941624 1.807679612 -7.27236713010759 4.87247423617655e-07 0.000983265300860428 5.58238813631222
ppy-miR-494_st -2.99484567039258 1.5381150725 -6.08230469755998 6.00471940163993e-06 0.00757345234531836 3.60956098634696
ptr-miR-197_st -2.79986969767762 1.8476914785 -8.16623972525591 8.36522280039444e-08 0.000281350326853266 6.90076954716723
ptr-miR-494_st -2.82461244410581 1.38747597 -5.8004903458922 1.11754126405516e-05 0.0118694645834911 3.10687693618532
v11_mmu-miR-197_st -2.85949300725337 1.889145833 -8.2201274132493 7.54781376496252e-08 0.000281350326853266 6.97584744998205
